date,sala,abc,id
2015-12-27,4,A+,225
2015-12-27,2,A,222
2015-12-27,1,A,487
2015-12-27,8,A+,249
2015-12-27,1,A+,320
2016-01-03,67,B,217
2016-01-03,30,A,445
2016-01-03,1689,B,411
2016-01-03,1550,A,250
2016-01-03,54,B,273
2016-01-03,256,A+,254
2016-01-03,3463,A,180
2016-01-03,172,A+,225
2016-01-03,2269,A,222
2016-01-03,4095,A,487
2016-01-03,397,A+,249
2016-01-03,69,A+,314
2016-01-03,439,A+,320
2016-01-03,2216,A+,258
2016-01-10,500,B,217
2016-01-10,171,A,445
2016-01-10,1992,B,411
2016-01-10,466,A,250
2016-01-10,859,B,273
2016-01-10,277,A+,254
2016-01-10,3528,A,180
2016-01-10,170,A+,225
2016-01-10,2545,A,222
2016-01-10,7228,A,487
2016-01-10,261,A+,249
2016-01-10,126,A+,314
2016-01-10,239,A+,320
2016-01-10,1021,A+,258
2016-01-17,1648,B,217
2016-01-17,1866,A,445
2016-01-17,1098,B,411
2016-01-17,1399,A,250
2016-01-17,30,B,273
2016-01-17,402,A+,254
2016-01-17,5588,A,180
2016-01-17,228,A+,225
2016-01-17,2887,A,222
2016-01-17,11078,A,487
2016-01-17,613,A+,249
2016-01-17,100,A+,314
2016-01-17,293,A+,320
2016-01-17,559,A+,258
2016-01-24,984,B,217
2016-01-24,3606,A,445
2016-01-24,2753,B,411
2016-01-24,1242,A,250
2016-01-24,980,B,273
2016-01-24,310,A+,254
2016-01-24,4596,A,180
2016-01-24,175,A+,225
2016-01-24,2804,A,222
2016-01-24,8085,A,487
2016-01-24,448,A+,249
2016-01-24,114,A+,314
2016-01-24,334,A+,320
2016-01-24,2132,A+,258
2016-01-31,670,B,217
2016-01-31,883,A,445
2016-01-31,921,B,411
2016-01-31,22,A,250
2016-01-31,1096,B,273
2016-01-31,276,A+,254
2016-01-31,3764,A,180
2016-01-31,228,A+,225
2016-01-31,3021,A,222
2016-01-31,8797,A,487
2016-01-31,526,A+,249
2016-01-31,104,A+,314
2016-01-31,552,A+,320
2016-01-31,164,A+,258
2016-02-07,894,B,217
2016-02-07,1139,A,445
2016-02-07,1109,B,411
2016-02-07,1384,A,250
2016-02-07,921,B,273
2016-02-07,279,A+,254
2016-02-07,3912,A,180
2016-02-07,230,A+,225
2016-02-07,2789,A,222
2016-02-07,7313,A,487
2016-02-07,639,A+,249
2016-02-07,63,A+,314
2016-02-07,418,A+,320
2016-02-07,1308,A+,258
2016-02-14,1280,B,217
2016-02-14,2155,A,445
2016-02-14,1379,B,411
2016-02-14,1165,A,250
2016-02-14,1392,B,273
2016-02-14,323,A+,254
2016-02-14,4455,A,180
2016-02-14,178,A+,225
2016-02-14,3046,A,222
2016-02-14,8229,A,487
2016-02-14,1078,A+,249
2016-02-14,159,A+,314
2016-02-14,299,A+,320
2016-02-14,1130,A+,258
2016-02-21,1134,B,217
2016-02-21,2617,A,445
2016-02-21,1375,B,411
2016-02-21,1552,A,250
2016-02-21,324,B,273
2016-02-21,388,A+,254
2016-02-21,5307,A,180
2016-02-21,211,A+,225
2016-02-21,2931,A,222
2016-02-21,10059,A,487
2016-02-21,417,A+,249
2016-02-21,113,A+,314
2016-02-21,353,A+,320
2016-02-21,439,A+,258
2016-02-28,288,B,217
2016-02-28,1506,A,445
2016-02-28,2013,B,411
2016-02-28,1243,A,250
2016-02-28,936,B,273
2016-02-28,462,A+,254
2016-02-28,5610,A,180
2016-02-28,192,A+,225
2016-02-28,3139,A,222
2016-02-28,12160,A,487
2016-02-28,585,A+,249
2016-02-28,110,A+,314
2016-02-28,340,A+,320
2016-02-28,1210,A+,258
2016-03-06,1566,B,217
2016-03-06,2785,A,445
2016-03-06,1543,B,411
2016-03-06,1558,A,250
2016-03-06,36,B,273
2016-03-06,541,A+,254
2016-03-06,6775,A,180
2016-03-06,250,A+,225
2016-03-06,3304,A,222
2016-03-06,9475,A,487
2016-03-06,753,A+,249
2016-03-06,118,A+,314
2016-03-06,420,A+,320
2016-03-06,1718,A+,258
2016-03-13,1488,B,217
2016-03-13,1679,A,445
2016-03-13,2007,B,411
2016-03-13,2308,A,250
2016-03-13,968,B,273
2016-03-13,419,A+,254
2016-03-13,3909,A,180
2016-03-13,295,A+,225
2016-03-13,3521,A,222
2016-03-13,7960,A,487
2016-03-13,663,A+,249
2016-03-13,142,A+,314
2016-03-13,458,A+,320
2016-03-13,848,A+,258
2016-03-20,483,B,217
2016-03-20,1257,A,445
2016-03-20,472,B,411
2016-03-20,37,A,250
2016-03-20,646,B,273
2016-03-20,316,A+,254
2016-03-20,3965,A,180
2016-03-20,243,A+,225
2016-03-20,2704,A,222
2016-03-20,14379,A,487
2016-03-20,618,A+,249
2016-03-20,56,A+,314
2016-03-20,270,A+,320
2016-03-20,523,A+,258
2016-03-27,841,B,217
2016-03-27,3408,A,445
2016-03-27,1242,B,411
2016-03-27,1089,A,250
2016-03-27,1084,B,273
2016-03-27,303,A+,254
2016-03-27,3710,A,180
2016-03-27,223,A+,225
2016-03-27,2765,A,222
2016-03-27,7475,A,487
2016-03-27,666,A+,249
2016-03-27,129,A+,314
2016-03-27,378,A+,320
2016-03-27,888,A+,258
2016-04-03,0,B,217
2016-04-03,2335,A,445
2016-04-03,1256,B,411
2016-04-03,1394,A,250
2016-04-03,373,B,273
2016-04-03,387,A+,254
2016-04-03,8595,A,180
2016-04-03,256,A+,225
2016-04-03,3255,A,222
2016-04-03,9803,A,487
2016-04-03,846,A+,249
2016-04-03,72,A+,314
2016-04-03,434,A+,320
2016-04-03,2333,A+,258
2016-04-10,1157,B,217
2016-04-10,1669,A,445
2016-04-10,1080,B,411
2016-04-10,1567,A,250
2016-04-10,629,B,273
2016-04-10,490,A+,254
2016-04-10,17,B,181
2016-04-10,4646,A,180
2016-04-10,282,A+,225
2016-04-10,3380,A,222
2016-04-10,10462,A,487
2016-04-10,688,A+,249
2016-04-10,52,A+,314
2016-04-10,314,A+,320
2016-04-10,969,A+,258
2016-04-17,1008,B,217
2016-04-17,2834,A,445
2016-04-17,1686,B,411
2016-04-17,638,A,250
2016-04-17,642,B,273
2016-04-17,333,A+,254
2016-04-17,11,B,271
2016-04-17,8,B,181
2016-04-17,4340,A,180
2016-04-17,131,A+,225
2016-04-17,2872,A,222
2016-04-17,8870,A,487
2016-04-17,635,A+,249
2016-04-17,104,A+,314
2016-04-17,413,A+,320
2016-04-17,1076,A+,258
2016-04-24,631,B,217
2016-04-24,2610,A,445
2016-04-24,1238,B,411
2016-04-24,1588,A,250
2016-04-24,962,B,273
2016-04-24,378,A+,254
2016-04-24,66,B,271
2016-04-24,10,B,181
2016-04-24,3732,A,180
2016-04-24,263,A+,225
2016-04-24,3396,A,222
2016-04-24,10535,A,487
2016-04-24,701,A+,249
2016-04-24,61,A+,314
2016-04-24,445,A+,320
2016-04-24,1977,A+,258
2016-05-01,1102,B,217
2016-05-01,2419,A,445
2016-05-01,2141,B,411
2016-05-01,1737,A,250
2016-05-01,627,B,273
2016-05-01,404,A+,254
2016-05-01,1161,B,271
2016-05-01,765,B,181
2016-05-01,5387,A,180
2016-05-01,240,A+,225
2016-05-01,3239,A,222
2016-05-01,10052,A,487
2016-05-01,813,A+,249
2016-05-01,58,A+,314
2016-05-01,530,A+,320
2016-05-01,704,A+,258
2016-05-08,1222,B,217
2016-05-08,3448,A,445
2016-05-08,1847,B,411
2016-05-08,2638,A,250
2016-05-08,1112,B,273
2016-05-08,440,A+,254
2016-05-08,1842,B,271
2016-05-08,812,B,181
2016-05-08,6662,A,180
2016-05-08,299,A+,225
2016-05-08,3469,A,222
2016-05-08,12013,A,487
2016-05-08,1075,A+,249
2016-05-08,90,A+,314
2016-05-08,329,A+,320
2016-05-08,543,A+,258
2016-05-15,2124,B,217
2016-05-15,3176,A,445
2016-05-15,2159,B,411
2016-05-15,1113,A,250
2016-05-15,1572,B,273
2016-05-15,461,A+,254
2016-05-15,2029,B,271
2016-05-15,822,B,181
2016-05-15,2276,A,180
2016-05-15,196,A+,225
2016-05-15,2958,A,222
2016-05-15,7554,A,487
2016-05-15,895,A+,249
2016-05-15,128,A+,314
2016-05-15,367,A+,320
2016-05-15,1140,A+,258
2016-05-22,772,B,217
2016-05-22,3661,A,445
2016-05-22,1712,B,411
2016-05-22,1556,A,250
2016-05-22,343,B,273
2016-05-22,527,A+,254
2016-05-22,2200,B,271
2016-05-22,1051,B,181
2016-05-22,4904,A,180
2016-05-22,276,A+,225
2016-05-22,3418,A,222
2016-05-22,5718,A,487
2016-05-22,1483,A+,249
2016-05-22,54,A+,314
2016-05-22,480,A+,320
2016-05-22,2152,A+,258
2016-05-29,757,B,217
2016-05-29,2639,A,445
2016-05-29,1697,B,411
2016-05-29,1567,A,250
2016-05-29,955,B,273
2016-05-29,734,A+,254
2016-05-29,3472,B,438
2016-05-29,2113,B,271
2016-05-29,1071,B,181
2016-05-29,6714,A,180
2016-05-29,291,A+,225
2016-05-29,3950,A,222
2016-05-29,9386,A,487
2016-05-29,801,A+,249
2016-05-29,91,A+,314
2016-05-29,839,A+,320
2016-05-29,3264,A+,258
2016-06-05,1634,B,217
2016-06-05,3945,A,445
2016-06-05,934,B,411
2016-06-05,2207,A,250
2016-06-05,1150,B,273
2016-06-05,474,A+,254
2016-06-05,879,B,438
2016-06-05,4037,B,271
2016-06-05,960,B,181
2016-06-05,4665,A,180
2016-06-05,317,A+,225
2016-06-05,3883,A,222
2016-06-05,6602,A,487
2016-06-05,955,A+,249
2016-06-05,106,A+,314
2016-06-05,405,A+,320
2016-06-05,1457,A+,258
2016-06-12,1151,B,217
2016-06-12,1922,A,445
2016-06-12,468,B,411
2016-06-12,1117,A,250
2016-06-12,379,B,273
2016-06-12,370,A+,254
2016-06-12,664,B,438
2016-06-12,2952,B,271
2016-06-12,467,B,181
2016-06-12,3790,A,180
2016-06-12,297,A+,225
2016-06-12,3063,A,222
2016-06-12,9099,A,487
2016-06-12,702,A+,249
2016-06-12,184,A+,314
2016-06-12,473,A+,320
2016-06-12,995,A+,258
2016-06-19,256,B,217
2016-06-19,5168,A,445
2016-06-19,2145,B,411
2016-06-19,3456,A,250
2016-06-19,1583,B,273
2016-06-19,341,A+,254
2016-06-19,415,B,438
2016-06-19,3316,B,271
2016-06-19,894,B,181
2016-06-19,4564,A,180
2016-06-19,267,A+,225
2016-06-19,3369,A,222
2016-06-19,7515,A,487
2016-06-19,5,A+,409
2016-06-19,648,A+,249
2016-06-19,126,A+,314
2016-06-19,541,A+,320
2016-06-19,1660,A+,258
2016-06-26,2038,B,217
2016-06-26,4728,A,445
2016-06-26,3574,B,411
2016-06-26,1984,A,250
2016-06-26,1617,B,273
2016-06-26,341,A+,254
2016-06-26,427,B,438
2016-06-26,3341,B,271
2016-06-26,797,B,181
2016-06-26,4440,A,180
2016-06-26,278,A+,225
2016-06-26,5203,A,222
2016-06-26,12289,A,487
2016-06-26,5,A+,409
2016-06-26,1085,A+,249
2016-06-26,177,A+,314
2016-06-26,464,A+,320
2016-06-26,1592,A+,258
2016-07-03,1878,B,217
2016-07-03,4552,A,445
2016-07-03,1378,B,411
2016-07-03,1629,A,250
2016-07-03,1033,B,273
2016-07-03,376,A+,254
2016-07-03,648,B,438
2016-07-03,3130,B,271
2016-07-03,213,B,181
2016-07-03,4654,A,180
2016-07-03,314,A+,225
2016-07-03,5932,A,222
2016-07-03,8403,A,487
2016-07-03,12,A+,409
2016-07-03,945,A+,249
2016-07-03,26,A+,314
2016-07-03,662,A+,320
2016-07-03,370,A+,258
2016-07-10,1887,B,217
2016-07-10,1498,A,445
2016-07-10,1883,B,411
2016-07-10,3026,A,250
2016-07-10,1102,B,273
2016-07-10,367,A+,254
2016-07-10,1941,B,438
2016-07-10,2384,B,271
2016-07-10,855,B,181
2016-07-10,5041,A,180
2016-07-10,355,A+,225
2016-07-10,3007,A,222
2016-07-10,7887,A,487
2016-07-10,5,A+,409
2016-07-10,1246,A+,249
2016-07-10,103,A+,314
2016-07-10,732,A+,320
2016-07-10,1443,A+,258
2016-07-17,2887,B,217
2016-07-17,40,A,445
2016-07-17,2762,B,411
2016-07-17,2096,A,250
2016-07-17,1150,B,273
2016-07-17,385,A+,254
2016-07-17,932,B,438
2016-07-17,4060,B,271
2016-07-17,841,B,181
2016-07-17,6889,A,180
2016-07-17,274,A+,225
2016-07-17,3546,A,222
2016-07-17,9909,A,487
2016-07-17,41,A+,409
2016-07-17,1624,A+,249
2016-07-17,388,A+,314
2016-07-17,462,A+,320
2016-07-17,1455,A+,258
2016-07-24,612,B,217
2016-07-24,6150,A,445
2016-07-24,0,B,411
2016-07-24,2303,A,250
2016-07-24,1614,B,273
2016-07-24,369,A+,254
2016-07-24,865,B,438
2016-07-24,1903,B,271
2016-07-24,2269,B,181
2016-07-24,3695,A,180
2016-07-24,299,A+,225
2016-07-24,3192,A,222
2016-07-24,14318,A,487
2016-07-24,18,A+,409
2016-07-24,1194,A+,249
2016-07-24,122,A+,314
2016-07-24,577,A+,320
2016-07-24,330,A+,258
2016-07-31,1192,B,217
2016-07-31,2132,A,445
2016-07-31,772,B,411
2016-07-31,1757,A,250
2016-07-31,1188,B,273
2016-07-31,457,A+,254
2016-07-31,494,B,438
2016-07-31,3247,B,271
2016-07-31,1199,B,181
2016-07-31,3181,A,180
2016-07-31,279,A+,225
2016-07-31,2972,A,222
2016-07-31,6510,A,487
2016-07-31,15,A+,409
2016-07-31,1136,A+,249
2016-07-31,24,A+,314
2016-07-31,354,A+,320
2016-07-31,144,A+,258
2016-08-07,281,B,217
2016-08-07,4365,A,445
2016-08-07,1094,B,411
2016-08-07,2562,A,250
2016-08-07,581,B,273
2016-08-07,373,A+,254
2016-08-07,262,B,438
